split,seed,model,estimates,dimension,group,rows,mae,rmse,log_rmse
random,42,histgb,False,Property Class,278,3064,56775.24734580435,77021.5292797168,0.2375849793343357
random,42,histgb,False,Town Code,10,167,69066.8853109654,91495.78350433712,0.22305272793495795
random,42,histgb,False,Town Code,11,469,44984.718392841896,62773.066170580096,0.34978433663661285
random,42,histgb,False,Town Code,12,670,30375.3693739696,43101.5405739987,0.3945811442462285
random,42,histgb,False,Town Code,13,875,32100.45513111245,40398.41881869171,0.38469933866113765
random,42,histgb,False,Town Code,14,106,33513.431576097326,40920.8628539515,0.5521139289687771
random,42,histgb,False,Town Code,15,366,34481.71211525584,44808.26120583382,0.40409377184129686
random,42,histgb,False,Town Code,16,548,41410.919585105126,56051.568793223545,0.18613901032209415
random,42,histgb,False,Town Code,17,283,87353.08479006519,112608.05884003773,0.34923494652629744
random,42,histgb,False,Town Code,18,784,31065.56583933551,41297.36896276374,0.22394348338047804
random,42,histgb,False,Town Code,19,200,52266.50293371452,68025.74450455891,0.19909238669560828
random,42,histgb,False,Town Code,20,820,39898.60278629603,52538.168263386615,0.30399641597292876
random,42,histgb,False,Town Code,21,742,67534.5723722232,90406.45847435044,0.33146860265325884
random,42,histgb,False,Town Code,22,880,54932.73159897228,76062.12064446791,0.22653512510641288
random,42,histgb,False,Town Code,23,309,84067.88222150262,107120.75311977911,0.21519476626267495
random,42,histgb,False,Town Code,24,709,52782.48758295913,71194.342471936,0.2332752405407819
random,42,histgb,False,Town Code,25,575,74392.32152590198,98115.32554287887,0.2351922802640624
random,42,histgb,False,Town Code,26,285,46088.73216848709,64057.37490007088,0.24652017283459074
random,42,histgb,False,Town Code,27,427,82218.5330429412,109630.59985813971,0.2984803025824905
random,42,histgb,False,Town Code,28,574,38658.90871777701,53598.19512926261,0.17524772976620648
random,42,histgb,False,Town Code,29,838,50218.16733092202,66653.0585500918,0.21854018940059913
random,42,histgb,False,Town Code,30,281,49946.40392017961,72273.12949248959,0.29218893261585865
random,42,histgb,False,Town Code,31,1386,40415.91489396867,56459.71662700598,0.35056390165460644
random,42,histgb,False,Town Code,32,753,32350.69748495865,44887.98433176232,0.3714398538037367
random,42,histgb,False,Town Code,33,70,99419.4162469535,119354.62774283676,0.24438712251593123
random,42,histgb,False,Town Code,34,212,61764.83875528981,82401.15422352005,0.2698003204042984
random,42,histgb,False,Town Code,35,763,37347.2561321105,49402.5793891126,0.19571475904601413
random,42,histgb,False,Town Code,36,377,32887.518878371826,43707.144040377025,0.3045327876163679
random,42,histgb,False,Town Code,37,1262,26544.74749265773,35150.41977456475,0.44050280896068544
random,42,histgb,False,Town Code,38,1044,50253.70699162617,68028.61253098224,0.2139594470406639
random,42,histgb,False,Town Code,39,1107,35478.252886455855,47437.12823145167,0.3194075203074774
random,42,histgb,False,Town Code,70,1324,42149.778509040974,60010.790276051855,0.5248339815312426
random,42,histgb,False,Town Code,71,3247,62586.493423954445,88365.27169150722,0.3189373692680594
random,42,histgb,False,Town Code,72,3770,39290.21173483021,54173.1964286756,0.4226954798250046
random,42,histgb,False,Town Code,73,197,106731.10830808162,144993.11934005076,0.3623798226206522
random,42,histgb,False,Town Code,74,12,129113.37978127797,156110.08598717075,0.3253497247924191
random,42,histgb,False,Town Code,75,159,67167.06015204346,84236.41091964328,0.2729488176862725
random,42,histgb,False,Town Code,76,235,63356.95334026915,92592.89253460293,0.4161667407971562
random,42,histgb,False,Town Code,77,818,67881.62796077579,97559.90234513249,0.503362533577823
group,42,histgb,True,price_band,<100k,5133,28510.69037238247,42557.67403791241,0.5213176208900487
